JD,Date_UT,Body,Sign,Deg,Lon,Notes,Source
2433304.9360648147,1950-01-24 00:00:00,Moon,Aries,13902620055404.316,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433307.2128703706,1950-01-26 00:00:00,Moon,Taurus,20221224986.016666,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433309.489664352,1950-01-28 00:00:00,Moon,Gemini,3005440905696.2,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433311.766458333,1950-01-31 00:00:00,Moon,Cancer,4652501114956.55,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433314.043263889,1950-02-02 00:00:00,Moon,Leo,8764693575609.8,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433316.3200578704,1950-02-04 00:00:00,Moon,Virgo,95578846211237.73,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433318.596863426,1950-02-07 00:00:00,Moon,Libra,21452399475.183334,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433320.8736574072,1950-02-09 00:00:00,Moon,Scorpio,1531718579747.8167,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433323.1504513887,1950-02-11 00:00:00,Moon,Sagittarius,11103283365576.533,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433325.4272569446,1950-02-13 00:00:00,Moon,Capricorn,17108667331.433332,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433327.704050926,1950-02-16 00:00:00,Moon,Aquarius,5213197693232.717,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433329.980856481,1950-02-18 00:00:00,Moon,Pisces,22684592598.416668,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433332.257650463,1950-02-20 00:00:00,Moon,Aries,10972450363146.316,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433334.5344444443,1950-02-23 00:00:00,Moon,Taurus,1176564140867.2,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433336.81125,1950-02-25 00:00:00,Moon,Gemini,18339841820.6,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433339.0880439817,1950-02-27 00:00:00,Moon,Cancer,8684622589503.75,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433341.364849537,1950-03-01 00:00:00,Moon,Leo,23916790572.3,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433343.6416435186,1950-03-04 00:00:00,Moon,Virgo,6627763435252.566,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433345.9184375,1950-03-06 00:00:00,Moon,Libra,74209059743833.55,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433348.1952430555,1950-03-08 00:00:00,Moon,Scorpio,1957203494.383333,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433350.472037037,1950-03-10 00:00:00,Moon,Sagittarius,131802071506783.4,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433352.748842593,1950-03-13 00:00:00,Moon,Capricorn,25148983695.533333,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433355.0256365743,1950-03-15 00:00:00,Moon,Aquarius,2283028000974.7334,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433357.302430556,1950-03-17 00:00:00,Moon,Pisces,3076219046491.4,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433359.579236111,1950-03-20 00:00:00,Moon,Aries,20804232917.716667,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433361.8560300926,1950-03-22 00:00:00,Moon,Taurus,883547171645.9,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433364.132824074,1950-03-24 00:00:00,Moon,Gemini,1295329428593.35,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433366.409629629,1950-03-26 00:00:00,Moon,Cancer,1459477289278.3667,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433368.686423611,1950-03-29 00:00:00,Moon,Leo,15387915431835.268,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433370.963229167,1950-03-31 00:00:00,Moon,Virgo,22036426040.95,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433373.240023148,1950-04-02 00:00:00,Moon,Libra,4490784788511.25,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433375.5168171297,1950-04-05 00:00:00,Moon,Scorpio,52839273276429.414,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433377.793622685,1950-04-07 00:00:00,Moon,Sagittarius,1769167041.25,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433380.0704166666,1950-04-09 00:00:00,Moon,Capricorn,110432285039379.23,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433382.347222222,1950-04-11 00:00:00,Moon,Aquarius,23267600530.133335,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433384.624016204,1950-04-14 00:00:00,Moon,Pisces,146049354233.4,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433386.9008101854,1950-04-16 00:00:00,Moon,Aries,939240399750.0834,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433389.177615741,1950-04-18 00:00:00,Moon,Taurus,18923868386.383335,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433391.4544097222,1950-04-20 00:00:00,Moon,Gemini,66984930696591.766,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433393.7312152777,1950-04-23 00:00:00,Moon,Cancer,24499793653.366665,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433396.008009259,1950-04-25 00:00:00,Moon,Leo,12457794245961.367,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433398.284803241,1950-04-27 00:00:00,Moon,Virgo,13250936785093.95,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433400.5616087965,1950-04-30 00:00:00,Moon,Libra,20156061509.616665,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433402.838402778,1950-05-02 00:00:00,Moon,Scorpio,2353806141769.933,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433405.11519676,1950-05-04 00:00:00,Moon,Sagittarius,148028201423586.4,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433407.392002315,1950-05-06 00:00:00,Moon,Capricorn,8113058811683.533,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433409.668796296,1950-05-09 00:00:00,Moon,Aquarius,8906249857200.2,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433411.945601852,1950-05-11 00:00:00,Moon,Pisces,21387235998.783333,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433414.222395833,1950-05-13 00:00:00,Moon,Aries,14665502527113.8,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433416.499189815,1950-05-15 00:00:00,Moon,Taurus,4689284196753.366,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433418.7759953705,1950-05-18 00:00:00,Moon,Gemini,17043503855.033333,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433421.052789352,1950-05-20 00:00:00,Moon,Cancer,45615144229187.6,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433423.329594908,1950-05-22 00:00:00,Moon,Leo,22619429122.033333,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433425.606388889,1950-05-25 00:00:00,Moon,Virgo,10320815599220.05,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433427.88318287,1950-05-27 00:00:00,Moon,Libra,111139581383517.39,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433430.159988426,1950-05-29 00:00:00,Moon,Scorpio,18275696978.283333,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433432.436782408,1950-05-31 00:00:00,Moon,Sagittarius,2168274950241.0833,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433434.713587963,1950-06-03 00:00:00,Moon,Capricorn,23851627095.9,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433436.9903819445,1950-06-05 00:00:00,Moon,Aquarius,5976080164942.2,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433439.267175926,1950-06-07 00:00:00,Moon,Pisces,67692712104570.88,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433441.5439814813,1950-06-10 00:00:00,Moon,Aries,19506871467.45,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433443.820775463,1950-06-12 00:00:00,Moon,Taurus,12528572386756.566,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433446.0975810187,1950-06-14 00:00:00,Moon,Gemini,25083820219.15,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433448.374375,1950-06-16 00:00:00,Moon,Cancer,1631393237048.4666,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433450.6511689816,1950-06-19 00:00:00,Moon,Leo,24245357761783.418,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433452.927974537,1950-06-21 00:00:00,Moon,Virgo,20739064590.683334,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433455.2047685185,1950-06-23 00:00:00,Moon,Libra,8183836952478.733,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433457.4815625,1950-06-25 00:00:00,Moon,Scorpio,643694664667.0834,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433459.758368056,1950-06-28 00:00:00,Moon,Sagittarius,13943138128776.416,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433462.035162037,1950-06-30 00:00:00,Moon,Capricorn,147465155149502.6,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433464.3119675927,1950-07-02 00:00:00,Moon,Aquarius,21971262564.566666,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433466.588761574,1950-07-05 00:00:00,Moon,Pisces,3839101518200.8833,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433468.865555556,1950-07-07 00:00:00,Moon,Aries,46322925637166.7,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433471.142361111,1950-07-09 00:00:00,Moon,Taurus,17626506936.1,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433473.4191550924,1950-07-11 00:00:00,Moon,Gemini,10391593740015.25,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433475.6959606484,1950-07-14 00:00:00,Moon,Cancer,23203455687.8,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433477.97275463,1950-07-16 00:00:00,Moon,Leo,16161081256972.8,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433480.249548611,1950-07-18 00:00:00,Moon,Virgo,287605635823.81665,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433482.5263541667,1950-07-21 00:00:00,Moon,Libra,18858704909.983334,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433484.803148148,1950-07-23 00:00:00,Moon,Scorpio,60468583057329.086,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433487.079953704,1950-07-25 00:00:00,Moon,Sagittarius,24434630176.983334,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433489.356747685,1950-07-27 00:00:00,Moon,Capricorn,11806159482035.1,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433491.6335416664,1950-07-30 00:00:00,Moon,Aquarius,125993020211658.89,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433493.9103472224,1950-08-01 00:00:00,Moon,Pisces,20090898033.216667,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433496.187141204,1950-08-03 00:00:00,Moon,Aries,170217137789.76666,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433498.463935185,1950-08-05 00:00:00,Moon,Taurus,8286472503096.866,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433500.7407407407,1950-08-08 00:00:00,Moon,Gemini,7461424047757.267,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433503.017534722,1950-08-10 00:00:00,Moon,Cancer,8254615093273.934,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433505.2943402776,1950-08-12 00:00:00,Moon,Leo,21322072522.4,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433507.5711342595,1950-08-15 00:00:00,Moon,Virgo,14024102610231.482,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433509.847928241,1950-08-17 00:00:00,Moon,Libra,14839603224156.35,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433512.1247337963,1950-08-19 00:00:00,Moon,Scorpio,16978340378.65,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433514.401527778,1950-08-21 00:00:00,Moon,Sagittarius,39098796589924.914,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433516.678333333,1950-08-24 00:00:00,Moon,Capricorn,22554265645.633335,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433518.9551273147,1950-08-26 00:00:00,Moon,Aquarius,9669180835293.783,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433521.231921296,1950-08-28 00:00:00,Moon,Pisces,104623233744254.72,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433523.508726852,1950-08-31 00:00:00,Moon,Aries,18210533501.883335,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433525.785520833,1950-09-02 00:00:00,Moon,Taurus,1623185939780.4,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433528.062326389,1950-09-04 00:00:00,Moon,Gemini,23786463619.516666,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433530.3391203703,1950-09-06 00:00:00,Moon,Cancer,5324445401015.934,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433532.615914352,1950-09-09 00:00:00,Moon,Leo,6117636446532.616,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433534.892719907,1950-09-11 00:00:00,Moon,Virgo,19441707991.05,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433537.1695138887,1950-09-13 00:00:00,Moon,Libra,118768891164417.1,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433539.4463194446,1950-09-15 00:00:00,Moon,Scorpio,25018656742.75,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433541.723113426,1950-09-18 00:00:00,Moon,Sagittarius,979758473122.2,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433543.9999074074,1950-09-20 00:00:00,Moon,Capricorn,17729010122520.75,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433546.276712963,1950-09-22 00:00:00,Moon,Aquarius,20673901114.3,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433548.5535069443,1950-09-25 00:00:00,Moon,Pisces,7532202188552.467,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433550.8303009258,1950-09-27 00:00:00,Moon,Aries,165867806101842.72,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433553.1071064817,1950-09-29 00:00:00,Moon,Taurus,1330168970559.1,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433555.383900463,1950-10-01 00:00:00,Moon,Gemini,14094880751026.684,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433557.6607060186,1950-10-04 00:00:00,Moon,Cancer,2190609908.816667,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433559.9375,1950-10-06 00:00:00,Moon,Leo,3187466754274.6167,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433562.214293981,1950-10-08 00:00:00,Moon,Virgo,39806577997904.03,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433564.491099537,1950-10-10 00:00:00,Moon,Libra,17561343459.716667,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433566.7678935183,1950-10-13 00:00:00,Moon,Scorpio,97399104697012.94,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433569.0446990742,1950-10-15 00:00:00,Moon,Sagittarius,23138292211.416668,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433571.321493056,1950-10-17 00:00:00,Moon,Capricorn,15509446493046.533,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433573.598287037,1950-10-20 00:00:00,Moon,Aquarius,16302589032179.133,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433575.875092593,1950-10-22 00:00:00,Moon,Pisces,18793536582.95,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433578.151886574,1950-10-24 00:00:00,Moon,Aries,53952235418066.414,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433580.428692129,1950-10-26 00:00:00,Moon,Taurus,24369466700.583332,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433582.705486112,1950-10-29 00:00:00,Moon,Gemini,11164711058768.684,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433584.982280093,1950-10-31 00:00:00,Moon,Cancer,119579021042835.73,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433587.259085648,1950-11-02 00:00:00,Moon,Leo,2002573455.683333,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433589.5358796297,1950-11-05 00:00:00,Moon,Virgo,1050488107533.3,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433591.812673611,1950-11-07 00:00:00,Moon,Libra,17701248638332.85,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433594.0894791665,1950-11-09 00:00:00,Moon,Scorpio,680978928391.2,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433596.366273148,1950-11-11 00:00:00,Moon,Sagittarius,760298032937.4667,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433598.643078704,1950-11-14 00:00:00,Moon,Capricorn,21257927680.066666,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
2433600.9198726853,1950-11-16 00:00:00,Moon,Aquarius,13372467846305.217,,"Moon ingress (approx) via mean sidereal motion; for high-precision, compute from ELP82.DAT",MASTER_Ephem_SYSTEM.csv
